*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Controller_v3 - trial 6.3.4 mux fix filled
*Date=23:15:45
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
219;;;90.3351;-23.9652;0;Bottom;Copper Fill36
220;;;52.5526;-26.0988;0;Bottom;Copper Fill266
221;;;48.7172;-8.395;0;Bottom;Copper Fill294
222;;;25.5778;-13.4623;0;Bottom;Copper Fill361
223;;;120.752;-113.729;0;Bottom;Copper Fill161
224;;;80.8228;-138.379;0;Bottom;Copper Fill329
225;;;12.2602;-41.4083;0;Bottom;Via11
226;;;108.42;-127.153;0;Bottom;Copper Fill84
227;;;26.8859;-14.7831;0;Bottom;Copper Fill94
228;220;THT;10.9903;-20.4532;180;Bottom;R13
229;;;54.7624;-123.914;0;Bottom;Copper Fill153
230;;;126.53;-35.3698;0;Bottom;Copper Fill371
231;;;77.724;-123.914;0;Bottom;Copper Fill157
232;;THT;132.275;-97.2882;0;Bottom;PWM 3
233;;;30.353;-44.6281;0;Bottom;Copper Fill132
234;;;23.9649;-146.19;0;Bottom;Copper Fill83
235;;;74.803;-93.5104;0;Bottom;Copper Fill185
236;;;62.4078;-55.1564;0;Bottom;Copper Fill15
237;;;116.37;-46.7998;0;Bottom;Copper Fill106
238;47k;THT;60.5203;-94.1132;-90;Bottom;R21
239;;;25.908;-72.1998;0;Bottom;Copper Fill205
240;;;8.8392;-89.0146;0;Bottom;Copper Fill191
241;;;86.5632;-11.7478;0;Bottom;Copper Fill287
242;;;29.6418;-138.583;0;Bottom;Copper Fill340
243;;;27.9654;-41.5674;0;Bottom;Copper Fill236
244;;;32.893;-63.2844;0;Bottom;Copper Fill203
245;;;24.1935;-14.7831;0;Bottom;Copper Fill362
246;10k;THT;78.3003;-106.813;0;Bottom;R61
247;;;91.9607;-82.0677;0;Bottom;Copper Fill376
248;;THT;128.465;-10.2932;0;Bottom;RGB1
249;;;107.734;-42.7231;0;Bottom;Copper Fill360
250;;TO92 [THT];106.151;-26.9937;90;Bottom;Q15
251;;;32.5755;-145.428;0;Bottom;Copper Fill49
252;;;119.736;-96.6727;0;Bottom;Copper Fill344
253;;;89.7636;-120.993;0;Bottom;Copper Fill156
254;;;18.2372;-39.129;0;Bottom;Copper Fill7
255;;;63.3857;-54.1404;0;Bottom;Copper Fill17
256;100nF;100 mil [THT, multilayer];74.4903;-100.463;-90;Bottom;C24
257;;;31.4706;-25.6162;0;Bottom;Copper Fill267
258;220;THT;121.48;-75.6982;90;Bottom;R42
259;;TO220 [THT];117.924;-50.2982;90;Bottom;Q14
260;;;39.3446;-57.5694;0;Bottom;Copper Fill220
261;;;62.4253;-134.118;90;Bottom;I2C Mux
262;;;31.8008;-29.5786;0;Bottom;Copper Fill259
263;;;29.9212;-17.5898;0;Bottom;Copper Fill278
264;;;22.2504;-24.8288;0;Bottom;Copper Fill261
265;;;125.26;-144.59;0;Bottom;Copper Fill332
266;;;63.3857;-39.5481;0;Bottom;Copper Fill309
267;;;103.226;-95.4154;0;Bottom;Copper Fill135
268;100nF;100 mil [THT, multilayer];33.2153;-120.783;180;Bottom;C8
269;10k;THT;106.875;-37.5982;90;Bottom;R18
270;100nF;100 mil [THT, multilayer];113.225;-123.958;0;Bottom;C23
271;;;69.6341;-23.0381;0;Bottom;Copper Fill34
272;;;114.478;-123.139;0;Bottom;Copper Fill85
273;;;7.5184;-61.1254;0;Bottom;Copper Fill96
274;;400 mil [THT];71.3153;-56.6482;90;Bottom;L1
275;;;57.9628;-17.0183;0;Bottom;Copper Fill99
276;;;47.1678;-90.0814;0;Bottom;Copper Fill305
277;;;46.1772;-126.454;0;Bottom;Copper Fill149
278;;;95.1357;-63.6654;0;Bottom;Copper Fill45
279;;;83.693;-85.8777;0;Bottom;Copper Fill120
280;68k;THT;87.1903;-90.9382;-90;Bottom;R26
281;;;23.0378;-145.276;0;Bottom;Copper Fill82
282;;;39.6748;-85.611;0;Bottom;Copper Fill194
283;;;7.8153;-92.2082;0;Bottom;Buzzer
284;;;43.7134;-24.8288;0;Bottom;Copper Fill262
285;220;THT;28.1353;-28.0732;-90;Bottom;R56
286;;;89.7128;-17.0183;0;Bottom;Copper Fill116
287;;;12.8952;-64.2683;0;Bottom;Via12
288;;;126.34;-100.902;0;Bottom;Copper Fill178
289;;;106.782;-53.607;0;Bottom;Copper Fill228
290;;;28.7655;-137.706;0;Bottom;Copper Fill339
291;;;86.7918;-97.6252;0;Bottom;Copper Fill182
292;;;135.42;-46.7998;0;Bottom;Copper Fill112
293;;;94.1578;-52.5275;0;Bottom;Copper Fill314
294;;;109.525;-78.9308;0;Bottom;Copper Fill201
295;;;10.6934;-41.3896;0;Bottom;Copper Fill244
296;;;32.5755;-145.428;0;Bottom;Copper Fill324
297;;;106.845;-41.8214;0;Bottom;Copper Fill358
298;220;THT;106.24;-82.0482;90;Bottom;R46
299;100nF;100 mil [THT, multilayer];128.465;-123.958;0;Bottom;C16
300;;;64.3128;-17.0183;0;Bottom;Copper Fill101
301;;;123.99;-108.42;0;Bottom;Copper Fill345
302;;;27.6733;-63.6654;0;Bottom;Copper Fill54
303;;DIP (Dual Inline) [THT];50.3603;-79.5082;90;Bottom;CD4013B-1
304;220;THT;10.9903;-28.0732;180;Bottom;R7
305;;TO92 [THT];108.59;-73.0693;0;Bottom;Q17
306;;;121.361;-82.7662;0;Bottom;Copper Fill195
307;;;50.2412;-31.1026;0;Bottom;Copper Fill257
308;10k;THT;45.9153;-24.2632;90;Bottom;R50
309;;TO92 [THT];108.59;-47.6693;0;Bottom;Q22
310;;TO220 [THT];74.4903;-70.8722;0;Bottom;Q4
311;;;80.391;-11.4938;0;Bottom;Copper Fill286
312;;;79.9338;-139.218;0;Bottom;Copper Fill330
313;;;5.5626;-58.0012;0;Bottom;Copper Fill222
314;;;57.023;-23.0381;0;Bottom;Copper Fill27
315;;THT;68.7753;-111.258;0;Bottom;DAC-4
316;;THT;132.275;-82.0482;0;Bottom;PWM 2
317;;;127.165;-123.139;0;Bottom;Copper Fill337
318;;;80.7212;-127.14;0;Bottom;Copper Fill165
319;;;90.3351;-22.1618;0;Bottom;Copper Fill37
320;;;102.413;-94.5899;0;Bottom;Copper Fill134
321;;;5.9055;-29.0325;0;Bottom;Copper Fill67
322;;TO220 [THT];128.084;-27.4382;90;Bottom;Q9
323;;;127;-35.5222;0;Bottom;Copper Fill251
324;;;71.2978;-120.612;0;Bottom;Copper Fill79
325;;;41.4274;-100.622;0;Bottom;Copper Fill176
326;;;24.511;-66.2054;0;Bottom;Copper Fill52
327;;;111.531;-75.07;0;Bottom;Copper Fill204
328;;;127.247;-94.8944;-90;Bottom;TXT1
329;;;87.8078;-115.342;0;Bottom;Copper Fill129
330;;;80.4418;-23.0381;0;Bottom;Copper Fill43
331;;300 mil [THT];94.1753;-59.8486;-90;Bottom;D3
332;;;91.7194;-9.1316;0;Bottom;Copper Fill297
333;10k;THT;102.43;-17.2782;90;Bottom;R14
334;;;90.3351;-23.9652;0;Bottom;Copper Fill315
335;220;THT;75.1253;-66.1732;180;Bottom;R34
336;;;28.7655;-137.706;0;Bottom;Copper Fill64
337;;;108.788;-28.3594;0;Bottom;Copper Fill258
338;;;116.586;-34.8618;0;Bottom;Copper Fill247
339;;300 mil [THT];62.4253;-43.2878;90;Bottom;D2
340;220;THT;19.8803;-138.563;0;Bottom;R19
341;;;99.9744;-11.5954;0;Bottom;Copper Fill290
342;;;25.5064;-91.0799;0;Bottom;TXT2
343;;;23.9649;-146.19;0;Bottom;Copper Fill353
344;;;78.613;-23.0381;0;Bottom;Copper Fill320
345;;;29.0449;-134.138;0;Bottom;Copper Fill367
346;;;118.91;-97.5617;0;Bottom;Copper Fill69
347;;;41.783;-75.7304;0;Bottom;Copper Fill117
348;220;THT;108.78;-82.0482;90;Bottom;R45
349;;;127.165;-124.841;0;Bottom;Copper Fill336
350;;;75.4888;-121.069;0;Bottom;Copper Fill155
351;;;29.0449;-134.138;0;Bottom;Copper Fill100
352;;;24.1935;-14.7831;0;Bottom;Copper Fill93
353;;;63.6651;-100.8;0;Bottom;Copper Fill366
354;220;THT;35.7553;-28.0732;-90;Bottom;R53
355;;;41.0718;-57.5186;0;Bottom;Copper Fill224
356;;;46.609;-79.515;0;Bottom;Copper Fill197
357;;;129.667;-81.8772;0;Bottom;Copper Fill196
358;100nF;100 mil [THT, multilayer];118.945;-132.213;180;Bottom;C14
359;;dip;120.21;-103.638;180;Bottom;tiny85-2
360;;TO92 [THT];108.59;-62.9093;0;Bottom;Q19
361;;;32.893;-40.1831;0;Bottom;Copper Fill133
362;;;76.0216;-47.178;0;Bottom;TXT3
363;;;115.113;-84.3918;0;Bottom;Copper Fill4
364;;;73.8378;-140.894;0;Bottom;Copper Fill322
365;;;116.37;-79.3499;0;Bottom;Copper Fill347
366;;;32.5755;-147.028;0;Bottom;Copper Fill48
367;;;26.0698;-89.5663;0;Top;blkr13
368;10k;THT;38.2953;-24.2632;90;Bottom;R47
369;220;THT;30.6753;-28.0732;-90;Bottom;R55
370;;THT;102.43;-113.163;90;Bottom;FRAM
371;;;109.703;-26.0734;0;Bottom;Copper Fill9
372;;;50.3428;-124.575;0;Bottom;Copper Fill151
373;;;121.006;-132.233;0;Bottom;Copper Fill58
374;;;9.8552;-39.3322;0;Bottom;Copper Fill248
375;220;THT;10.9903;-22.9932;180;Bottom;R11
376;;;61.3156;-101.753;0;Bottom;Copper Fill139
377;100nF;100 mil [THT, multilayer];26.8653;-62.3632;90;Bottom;C17
378;;;109.474;-10.3;0;Bottom;Copper Fill12
379;;;10.4902;-36.9446;0;Bottom;Copper Fill250
380;;;7.8105;-81.1914;0;Bottom;Copper Fill63
381;;;33.3502;-146.203;0;Bottom;Copper Fill325
382;;TO92 [THT];39.1208;-35.7821;180;Bottom;Q26
383;;;24.638;-62.751;0;Bottom;Copper Fill206
384;;;35.7505;-74.2191;0;Bottom;Copper Fill126
385;;;23.0378;-145.276;0;Bottom;Copper Fill352
386;;;81.6356;-139.218;0;Bottom;Copper Fill331
387;;;42.7736;-12.5098;0;Bottom;Copper Fill289
388;;;51.5366;-143.98;0;Bottom;Copper Fill141
389;;;62.4078;-40.5641;0;Bottom;Copper Fill306
390;;;19.1135;-14.7831;0;Bottom;Copper Fill123
391;;;129.007;-106.718;0;Bottom;Copper Fill171
392;10k;THT;57.9803;-94.1132;90;Bottom;R36
393;;;135.42;-46.7998;0;Bottom;Copper Fill372
394;;;69.6341;-23.0381;0;Bottom;Copper Fill313
395;;;126.009;-103.086;0;Bottom;Copper Fill175
396;;;127.165;-123.139;0;Bottom;Copper Fill61
397;;;36.6141;-75.0954;0;Bottom;Copper Fill385
398;;;33.3502;-146.203;0;Bottom;Copper Fill50
399;;;20.4978;-13.4623;0;Bottom;Copper Fill390
400;220;THT;38.2953;-53.4732;180;Bottom;R57
401;;;88.0999;-120.168;0;Bottom;Copper Fill59
402;;;128.676;-108.928;0;Bottom;Copper Fill169
403;;;125.26;-144.59;0;Bottom;Copper Fill55
404;;THT;103.065;-7.75323;0;Bottom;HDD1
405;;;135.42;-35.3698;0;Bottom;Copper Fill111
406;;;106.553;-58.3568;0;Bottom;Copper Fill223
407;;;107.594;-48.2222;0;Bottom;Copper Fill234
408;4.7k;THT;99.8903;-30.6132;-90;Bottom;R16
409;;;125.984;-89.1162;0;Bottom;Copper Fill192
410;;;112.801;-69.7868;0;Bottom;Copper Fill208
411;;;118.91;-95.8599;0;Bottom;Copper Fill343
412;;;120.193;-131.407;0;Bottom;Copper Fill334
413;;;116.37;-35.3698;0;Bottom;Copper Fill368
414;47;THT;57.3453;-47.7582;90;Bottom;R20
415;;TO92 [THT];36.5808;-40.2271;180;Bottom;Q25
416;;;54.1528;-56.3502;0;Bottom;Copper Fill14
417;;THT;40.2003;-146.183;90;Bottom;LDR
418;;;54.5084;-82.2074;0;Bottom;Copper Fill3
